name,description,price,is_available,isbn,author,published_at
"The Starship's Whisper","A lone pilot discovers an ancient alien signal emanating from the void. The message warns of an impending cosmic catastrophe that could erase all life. She must now race against time to unite disparate space colonies. Her journey is fraught with betrayal and impossible choices.",1599,true,"978-0345391803","Anya K. Vance","2023-11-01"
"Chronicles of the Stone Heart","In a realm where magic is forbidden, a young apprentice secretly studies forgotten runes. He accidentally awakens a legendary golem with the power to shatter mountains. The tyrannical High Council hunts them both across the enchanted lands. They seek refuge in the ruins of the first kingdom.",1250,true,"978-1400034637","Elias V. Thorne","2022-05-15"
"Cyberscape Echoes","Detective Kaito navigates a rain-soaked neon city where human memories are traded commodities. He's hired to find a missing digital soul that holds the key to the city's corrupt power structure. The line between reality and simulation blurs with every lead. He realizes his own past is deeply entangled in the mystery.",1899,false,"978-0547928286","Jia-Li Chen","2024-01-20"
"The Last Sky-Mage","Elara is the only person left who can call upon the power of the winds. An army of shadow creatures is rapidly invading the floating archipelago. She must master her unstable abilities to protect her home before it plummets to the cursed surface. The fate of the entire civilization rests on her success.",1499,true,"978-0743273565","Rhys M. Sterling","2021-09-10"
"Quantum Paradox","A physicist invents a device that allows brief communication with alternate versions of himself. He learns that in every reality, a catastrophic event always occurs at midnight on Tuesday. He teams up with his smartest variant to try and break the timeline loop. The solutions they find only seem to create more terrible problems.",1650,true,"978-0061120084","Dr. Adrian Foucault","2023-03-25"
"Dragon's Deep Slumber","For centuries, the great wyrm Ignis has slept beneath the volcanic plains. A ruthless warlord plans to wake the dragon and harness its destructive fire for conquest. A humble shepherd is the only one who understands the ancient rituals needed to keep the beast at bay. He must race the warlord to the summit of the caldera.",1199,true,"978-0441172719","Mira S. Alistair","2020-07-07"
"Mars Colony 7 Uprising","The workers of the seventh Martian mining outpost decide to revolt against Earth's brutal corporate rule. Their leader, a bio-engineer named Jax, discovers evidence of a lethal terraforming failure being concealed. He must broadcast the truth to the galaxy before the military security forces silence the colony forever. The barren red dust holds more secrets than they imagined.",1750,false,"978-1501168007","Owen T. Bell","2025-02-14"
"Aetherpunk Alchemist","In a steam-powered metropolis fueled by trapped spirits, a brilliant but disgraced alchemist seeks redemption. She attempts to synthesize a mythical element that can free the spectral energy sources. Corrupt city officials view her work as a threat to their entire infrastructure. She must evade capture while completing her world-changing formula.",1399,true,"978-0316769174","Sage R. Willow","2022-12-01"
"The Whispering Forest's Secret","Young Finn enters an enchanted forest rumored to steal the voices of all who pass through. He is searching for his lost sister, who disappeared five years prior. He discovers that the forest is actually a living entity with a tragic, sorrowful purpose. To save his sister, Finn must convince the forest to let go of its ancient grief.",1099,true,"978-0062316097","Lila P. Finch","2021-04-18"
"Galactic Fleet Zero","The mighty human fleet is annihilated by an unknown, silent enemy from another dimension. Ensign Zara is the sole survivor, floating through the wreckage with a damaged scout ship. She picks up a cryptic distress signal from a forgotten outpost on the edge of the galaxy. She must navigate uncharted, perilous space to deliver the warning before the enemy reaches Earth.",1999,true,"978-1250317315","Kaelen J. Knox","2024-06-30"
